537239_1482797330,1482808036,9394,48632580,6,pc_web
537239_1482797330,1482808105,9585,3775532,13,pc_web
537239_1482797330,1482808113,9218,3775532,13,pc_web
537239_1482797330,1482808117,9218,3775532,13,pc_web
537239_1482797330,1482808119,9218,42480700,7,pc_web
537239_1482797330,1482808123,9218,48632580,6,pc_web
537239_1482797330,1482808143,9218,3775532,13,pc_web
537239_1482797330,1482808148,9218,32361168,6,ios
537239_1482797330,1482808174,9037,29219854,7,pc_web,哒魂淡啊,啥游戏啊
537239_1482797330,1482808196,9037,53435734,4,pc_web,提前退休888,打的什么游戏
537239_1482797330,1482808201,9037,63207924,4,pc_web,12是十二,512446776
537239_1482797330,1482808202,9037,62963300,1,pc_web,TST丶杰,666
537239_1482797330,1482808211,9037,29219854,7,pc_web,哒魂淡啊,床上的是我！
537239_1482797330,1482808215,9037,63207924,4,ios,12是十二,十二，求带
537239_1482797330,1482808237,9104,4060554,10,pc_web,Deamon,谢谢剑锋的龙虾。。我刚才才看到额，，，
537239_1482797330,1482808285,9104,30231724,4,android,丿没事放放车,延迟有点高
537239_1482797330,1482808313,9052,48632580,6,pc_web,黄大大很6,应该有7。8百吧
537239_1482797330,1482808313,9052,37929586,6,pc_web,RogerYuen,衣服满分
537239_1482797330,1482808340,9052,62963300,4,pc_web,TST丶杰,多少雪花一个饭团，我直接送一百个饭团
537239_1482797330,1482808351,9052,22197378,4,android,天上那个啊,你脸好大捂脸
537239_1482797330,1482808356,8743,61731368,1,ios,倔强温柔,主播胸多大
